Question,Average,Individual
Q16_1,63,1
Q16_2,63,3
Q16_3,62,3
Q16_4,62,3
Q16_5,63,2
Q16_6,63,2
Q16_7,63,4
Q16_8,63,2
Q16_9,63,1
Q17,63,2
Q19_1,63,2
Q19_2,62,4
Q19_3,62,1
Q19_4,63,4
Q19_5,63,4
Q19_6,62,2
Q19_7,62,4
Q20,63,1
Q21_1,60,1
Q21_2,60,1
Q21_3,60,1
Q21_4,60,2
Q21_5,60,1
Q21_6,60,3
Q21_7,61,3
Q21_8,60,3
Q21_9,60,4
Q21_10,60,2
Q21_11,59,2
Q21_12,60,1
Q21_13,60,3
Q21_14,59,2
Q21_15,61,4
Q21_16,60,1
Q21_17,61,1
Q22_1,60,2
Q22_2,60,1
Q22_3,60,2
Q22_4,59,1
Q22_5,60,2
Q22_6,60,2
Q22_7,60,4
Q22_8,60,1
Q22_9,59,2
Q22_10,60,2
Q22_11,60,3
Q22_12,60,2
Q22_13,60,2
Q22_14,61,1
Q22_15,60,4
Q22_16,60,2
Q22_17,59,1
Q22_18,60,3
Q24,60,4
Q25,61,2
Q26,60,2
Q27,60,4
Q28,60,3
Q29,60,4
Q30,60,2
Q35,60,4
Q116,58,3
Q36,59,2
Q117,58,3
Q37,57,3
Q38,58,4
Q39,58,3
Q40,58,2
Q41,59,1
Q42,59,1
Q43,59,3
Q44,57,2
Q45,60,2
Q46,59,3
Q47,58,3
Q48,59,3
Q49,57,4
Q50,58,1
Q51,59,3
Q52,58,4
Q53,59,2
Q54,59,3
Q55_1,60,1
Q55_2,60,3
Q55_3,60,2
Q55_4,60,2
Q55_5,60,4
Q55_6,59,4
Q55_7,60,3
Q55_8,61,2
Q55_9,60,2
Q55_10,60,3
Q55_11,60,2
Q55_12,60,4
Q55_13,60,2
